English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score,Premiered Season,Premiered Year
Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",TV,Bandai Visual,Sunrise,41.0,43,78525,914193.0,1771505,89.94531099353043,spring,1998
Trigun,8.22,"Action, Adventure, Sci-Fi",TV,Victor Entertainment,Madhouse,328.0,246,15035,356739.0,727252,80.28127572846694,spring,1998
Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",TV,"Bandai Visual, Dentsu, Victor Entertainment, TV Tokyo Music",Sunrise,2764.0,1795,613,42829.0,111931,58.658212716431876,summer,2002
Beet the Vandel Buster,6.94,"Adventure, Fantasy, Supernatural",TV,"TV Tokyo, Dentsu",Toei Animation,4240.0,5126,14,6413.0,15001,39.95102004000056,fall,2004
Honey and Clover,8.0,"Comedy, Drama, Romance",TV,"Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha",J.C.Staff,589.0,862,4136,81747.0,260166,65.83123612000594,spring,2005
Monster,8.87,"Drama, Mystery, Suspense",TV,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,26.0,142,47235,368569.0,1013100,81.32834137001696,spring,2004
Naruto,7.99,"Action, Adventure, Fantasy",TV,"TV Tokyo, Aniplex, Shueisha",Pierrot,599.0,8,76343,1883772.0,2717330,96.03277461924819,fall,2002
One Piece,8.69,"Action, Adventure, Fantasy",TV,"Fuji TV, TAP, Shueisha",Toei Animation,55.0,20,198986,1226493.0,2168904,92.7090784548575,fall,1999
The Prince of Tennis,7.86,Sports,TV,"Production I.G, Nihon Ad Systems",Trans Arts,805.0,1246,3004,81992.0,178273,65.69003582480258,fall,2001
School Rumble,7.89,"Comedy, Romance",TV,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,756.0,687,5139,146597.0,320203,71.32245419559509,fall,2004
Desert Punk,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,"GDH, Pony Canyon, CBC Television",Gonzo,2167.0,1546,822,53709.0,134894,61.009280484440566,fall,2004
Texhnolyze,7.76,"Action, Drama, Sci-Fi",TV,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,990.0,935,4786,54857.0,239423,61.696464885685,spring,2003
Yakitate!! Japan,7.91,"Comedy, Gourmet",TV,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,704.0,1992,897,40492.0,95380,58.956893132289004,fall,2004
Neon Genesis Evangelion,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",204.0,45,100638,1024927.0,1718019,90.59575697164652,fall,1995
Berserk,8.56,"Action, Adventure, Drama, Fantasy, Horror",TV,"VAP, Hakusensha, Nippon Television Network",OLM,96.0,325,25404,325204.0,608800,79.78029946884034,fall,1997
Rurouni Kenshin,8.29,"Action, Adventure, Comedy, Romance",TV,"Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",249.0,432,9907,230278.0,477389,76.14766488249401,winter,1996
.hack//Sign,6.95,"Adventure, Fantasy, Mystery",TV,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,4172.0,1243,1343,83009.0,178659,64.62381256510852,spring,2002
Ah! My Goddess,7.32,"Comedy, Romance, Supernatural",TV,"Bandai Visual, TBS, Imagine",AIC,2407.0,1392,1115,76377.0,155745,64.32143886682816,winter,2005
Battle Doll Angelic Layer,7.26,"Award Winning, Comedy, Drama, Sci-Fi, Sports",TV,"Dentsu, TV Tokyo Music",Bones,2727.0,2707,291,28552.0,57259,54.766594669100364,spring,2001
Ai Yori Aoshi,7.11,"Comedy, Drama, Romance",TV,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,3471.0,1839,447,52942.0,108460,60.51183726361526,spring,2002
Beck: Mongolian Chop Squad,8.29,"Comedy, Drama, Slice of Life",TV,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Madhouse,252.0,669,8149,136432.0,327015,71.10667039279203,fall,2004
Blue Gender,7.03,"Adventure, Drama, Horror, Romance, Sci-Fi",TV,"Youmex, Toshiba EMI",AIC,3873.0,2256,415,29649.0,78193,54.81963996154504,fall,1999
Chobits,7.4,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,"TBS, Pioneer LDC",Madhouse,2080.0,441,3824,249019.0,469408,75.80745133618578,spring,2002
Chrono Crusade,7.62,"Action, Romance, Supernatural",TV,"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,1322.0,1010,1939,102723.0,221814,67.56217054622303,fall,2003
D.N.Angel,7.17,"Action, Comedy, Fantasy, Romance",TV,Kadokawa Shoten,Xebec,3180.0,1211,1257,98061.0,182259,66.52869483470913,spring,2003
D.C.~Da Capo~,6.72,"Drama, Romance",TV,"Lantis, King Records","feel., Zexcs",5215.0,2320,194,30349.0,74844,54.61005674788654,summer,2003
DearS,6.56,"Comedy, Romance, Sci-Fi, Ecchi",TV,"Bandai Visual, Hal Film Maker, Genco, Lantis",Daume,6027.0,1460,346,78611.0,145533,63.54342495453753,summer,2004
Rozen Maiden,7.41,"Action, Comedy, Drama",TV,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",Nomad,2053.0,1120,1936,95684.0,199570,66.60945441183554,fall,2004
Rozen Maiden: Träumend,7.62,"Action, Comedy, Drama",TV,"Mellow Head, TBS",Nomad,1340.0,1898,450,57969.0,102972,62.05251527768966,fall,2005
Azumanga Daioh: The Animation,7.99,"Comedy, Slice of Life",TV,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,603.0,668,6327,146773.0,327945,71.45529669451255,spring,2002
Basilisk,7.55,"Action, Drama, Romance",TV,"GDH, Kodansha, Sotsu Music Publishing",Gonzo,1539.0,1213,1371,76398.0,182074,64.62201544937149,spring,2005
Black Cat,7.33,"Action, Adventure, Sci-Fi",TV,"GDH, Dentsu, TBS, Sotsu Music Publishing",Gonzo,2389.0,846,1779,127273.0,264622,69.252232491467,fall,2005
Full Metal Panic!,7.61,"Action, Comedy, Sci-Fi",TV,"Kadokawa Shoten, KlockWorx",Gonzo,1356.0,422,4326,236646.0,482069,75.58614454331459,winter,2002
Full Metal Panic? Fumoffu,8.03,"Action, Comedy",TV,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",Kyoto Animation,548.0,769,2907,171852.0,289064,73.02250536073032,summer,2003
Full Metal Panic! The Second Raid,7.93,Action,TV,"WOWOW, Kadokawa Shoten, KlockWorx, Happinet Pictures",Kyoto Animation,682.0,878,1268,145898.0,255279,71.32512484848081,summer,2005
Gakuen Alice,7.64,"Comedy, Fantasy",TV,"Aniplex, Sogo Vision",Group TAC,1276.0,1975,1397,50323.0,97186,60.71561622672958,fall,2004
Fafner,7.26,"Action, Drama, Sci-Fi",TV,"TV Tokyo Music, King Records",Xebec,2751.0,3000,260,14750.0,47077,48.40609110791375,summer,2004
Magical Girl Lyrical Nanoha,7.41,"Action, Comedy, Drama",TV,"Starchild Records, Omnibus Japan",Seven Arcs,2044.0,1921,1038,41202.0,101048,58.4954671579451,fall,2004
Magical Girl Lyrical Nanoha A's,7.97,"Action, Comedy, Drama",TV,"Starchild Records, Omnibus Japan",Seven Arcs,622.0,2555,993,33024.0,63640,57.066378216809,fall,2005
Shuffle!,7.03,"Comedy, Drama, Fantasy, Romance, Ecchi",TV,"Xebec, Lantis, Kadokawa Shoten, KlockWorx, Memory-Tech",asread.,3854.0,820,1461,133611.0,273378,69.317807814867,summer,2005
Mobile Suit Gundam,7.76,"Action, Drama, Sci-Fi",TV,"Sotsu, Nagoya Broadcasting Network",Sunrise,1005.0,1632,2140,56938.0,126804,62.05502426933478,spring,1979
Mobile Suit Zeta Gundam,7.9,"Drama, Romance, Sci-Fi",TV,"Sotsu, Nagoya Broadcasting Network",Sunrise,719.0,2401,2117,35809.0,70651,57.76112183693853,spring,1985
Mobile Suit Gundam ZZ,6.68,"Comedy, Drama, Sci-Fi",TV,"Sotsu, Nagoya Broadcasting Network",Sunrise,5437.0,3254,178,19985.0,40669,50.52929653586631,spring,1986
Mobile Suit Victory Gundam,6.77,"Drama, Sci-Fi",TV,"TV Asahi, Sotsu, Apollon",Sunrise,4996.0,4037,136,10400.0,26469,44.368069434707856,spring,1993
Mobile Suit Gundam Wing,7.69,"Action, Drama, Sci-Fi",TV,TV Asahi,Sunrise,1168.0,1391,2334,87593.0,155744,66.11581779628754,spring,1995
After War Gundam X,7.34,"Adventure, Drama, Sci-Fi",TV,"TV Asahi, Sotsu",Sunrise,2330.0,3534,199,15331.0,34851,48.88367247013449,spring,1996
Mobile Suit Gundam SEED,7.75,"Action, Award Winning, Drama, Romance, Sci-Fi",TV,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",Sunrise,1011.0,1330,3435,92725.0,164436,66.73897403381413,fall,2002
Mobile Suit Gundam SEED Destiny,7.18,"Action, Drama, Romance, Sci-Fi",TV,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",Sunrise,3122.0,1887,1063,63114.0,104048,62.29863435006114,fall,2004
∀ Gundam,7.74,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",TV,"Sotsu, Fuji TV, Nakamura Production",Sunrise,1057.0,3041,965,16137.0,45772,49.88809342851966,spring,1999
Mobile Fighter G Gundam,7.57,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",TV,"TV Asahi, Sotsu",Sunrise,1451.0,2483,978,36150.0,66828,57.44147963345256,spring,1994
Last Exile,7.79,"Action, Adventure, Sci-Fi",TV,"GDH, Victor Entertainment, TV Tokyo Music",Gonzo,943.0,1297,1825,69879.0,170062,64.06445062866874,spring,2003
My-Hime,7.42,"Action, Fantasy, Girls Love",TV,"Bandai Visual, TV Tokyo Music, Studio Zain",Sunrise,1981.0,1781,1146,51203.0,113210,60.601185031252605,fall,2004
My-Otome,7.28,"Comedy, Drama, Fantasy",TV,"Bandai Visual, Lantis, TV Tokyo Music",Sunrise,2631.0,2896,303,25042.0,50454,53.52988470423308,fall,2005
Prétear: The New Legend of Snow White,7.16,"Comedy, Drama, Fantasy, Romance",TV,"Kadokawa Shoten, Rondo Robe",Hal Film Maker,3271.0,2589,409,28219.0,62156,54.520051748675876,spring,2001
Air,7.28,"Drama, Romance, Supernatural",TV,"Pony Canyon, TBS, Movic",Kyoto Animation,2603.0,761,2605,151312.0,292351,70.85242070906784,winter,2005
Red Riding Hood Chacha,7.49,"Adventure, Comedy, Fantasy, Romance",TV,"Nihon Ad Systems, Shueisha",Gallop,1733.0,5140,110,5335.0,14917,38.913193105550945,winter,1994
"Ceres, Celestial Legend",7.18,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",TV,Bandai Visual,Pierrot,3156.0,2628,482,27320.0,60668,54.23512576635673,spring,2000
Boys Be...,6.4,"Comedy, Romance, Slice of Life",TV,Geneon Universal Entertainment,Hal Film Maker,6889.0,4306,42,9195.0,22934,42.640941366538144,spring,2000
Jing: King of Bandits,7.19,"Adventure, Comedy, Fantasy, Sci-Fi",TV,Aniplex,Studio Deen,3109.0,3440,206,14288.0,36942,48.00633162616409,spring,2002
Burst Angel,6.79,"Adventure, Comedy, Sci-Fi",TV,"GDH, TV Asahi, Imagica",Gonzo,4892.0,2435,234,30890.0,69227,54.88000465757882,spring,2004
Corrector Yui,6.97,"Adventure, Comedy, Sci-Fi",TV,"NHK, Studio Tron",Nippon Animation,4110.0,5031,92,6635.0,15804,40.32027870532494,spring,1999
The Cosmopolitan Prayers,4.82,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",TV,m.o.e.,"Imagin, Studio Live",12171.0,6433,5,3197.0,8567,29.737304844862994,winter,2004
Stellvia,7.37,"Action, Romance, Sci-Fi",TV,"Starchild Records, TV Tokyo Music",Xebec,2176.0,4220,119,9484.0,24116,44.2979340049028,spring,2003
Cromartie High School,7.9,Comedy,TV,TV Tokyo Music,Production I.G,722.0,1549,1600,52849.0,134468,61.509538852663454,fall,2003
El-Hazard: The Wanderers,6.93,"Adventure, Comedy, Fantasy, Romance",TV,"TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa",AIC,4257.0,4846,35,7070.0,17489,40.876372468772686,fall,1995
Fruits Basket,7.69,"Drama, Romance, Supernatural",TV,"TV Tokyo, Nihon Ad Systems, King Records",Studio Deen,1174.0,389,9255,276380.0,524623,77.18155791826081,summer,2001
Fullmetal Alchemist,8.11,"Action, Adventure, Award Winning, Drama, Fantasy",TV,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Bones,454.0,76,25502,868434.0,1426703,88.71933806735736,fall,2003
Searching for the Full Moon,7.94,"Comedy, Drama, Romance, Supernatural",TV,Nihon Ad Systems,Studio Deen,660.0,1860,1782,46837.0,106414,60.395193043218974,spring,2002
Mysterious Play,7.61,"Adventure, Fantasy, Romance",TV,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon",Pierrot,1357.0,1748,2043,51017.0,115885,60.80962773890039,spring,1995
Twin Love,6.44,"Comedy, Romance",TV,Lantis,Telecom Animation Film,6666.0,3540,23,15858.0,34677,47.94943205783253,fall,2004
Saiyuki,7.55,"Action, Adventure, Comedy, Drama, Supernatural",TV,"TV Tokyo, Dentsu, Group TAC",Pierrot,1545.0,2791,776,21181.0,53858,52.26802549307661,spring,2000
Getbackers,7.58,"Action, Mystery, Supernatural",TV,"TBS, Kodansha, Rondo Robe, Rakuonsha",Studio Deen,1438.0,1703,867,53000.0,119875,61.138813996986585,fall,2002
Green Green,6.15,"Comedy, Romance, Ecchi",TV,"Pony Canyon, Memory-Tech, Studio Jack",Studio Matrix,8102.0,1750,221,65710.0,115548,61.19561323540495,summer,2003
Gunslinger Girl,7.39,"Action, Drama, Sci-Fi",TV,"Marvelous, Fuji TV",Madhouse,2127.0,1191,1153,76112.0,185016,64.37962154388967,fall,2003
Hikaru no Go,8.08,"Comedy, Drama, Supernatural",TV,"TV Tokyo, Dentsu, Dream Force",Pierrot,491.0,1557,2341,61567.0,133599,63.19689154370648,fall,2001
Hunter x Hunter,8.41,"Action, Adventure, Fantasy",TV,Fuji TV,Nippon Animation,170.0,357,10442,275467.0,564771,78.0115959302439,fall,1999
Jinki: Extend,6.1,Sci-Fi,TV,"TV Asahi, GANSIS",feel.,8385.0,5723,11,4233.0,11401,34.70825145488379,winter,2005
Destiny of the Shrine Maiden,6.81,"Drama, Girls Love, Romance, Supernatural",TV,"Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment",TNK,4801.0,2436,701,29746.0,69192,54.544909869803746,fall,2004
His and Her Circumstances,7.59,"Comedy, Drama, Romance",TV,"TV Tokyo, GANSIS","Gainax, J.C.Staff",1402.0,1023,2517,78310.0,220497,64.91094605770895,fall,1998
This Ugly Yet Beautiful World,6.71,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,"Geneon Universal Entertainment, TBS, Rondo Robe, Movic","Gainax, Shaft",5291.0,2647,151,28382.0,59737,53.95041888997378,spring,2004
Rumbling Hearts,7.18,"Drama, Romance",TV,"Lantis, Media Factory, Age",Studio Fantasia,3122.0,1511,1048,67615.0,139156,62.96202610557957,fall,2003
Loveless,6.76,"Action, Boys Love, Drama, Mystery, Supernatural",TV,"Bandai Visual, TV Asahi, Movic",J.C.Staff,5020.0,1526,1308,69267.0,137813,62.614015611571695,spring,2005
Blood+,7.62,"Action, Drama, Horror, Mystery, Supernatural",TV,"Aniplex, Mainichi Broadcasting System",Production I.G,1320.0,592,4321,156688.0,367577,71.6282055775232,fall,2005
The Twelve Kingdoms,8.02,"Action, Adventure, Fantasy",TV,"NHK, Sogo Vision",Pierrot,566.0,1473,2403,44122.0,144333,59.916674867011785,spring,2002
Shaman King,7.75,"Action, Adventure, Comedy, Supernatural",TV,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music",Xebec,1020.0,612,3709,191259.0,356061,73.71109016211416,summer,2001
X,7.4,"Action, Drama, Fantasy, Romance",TV,"Bandai Visual, Kadokawa Shoten, d-rights, chara-ani.com",Madhouse,2072.0,2220,756,34617.0,80243,56.80545877881341,fall,2001
Negima!,6.94,"Comedy, Fantasy, Romance, Supernatural, Ecchi",TV,Starchild Records,Xebec,4212.0,1523,494,63454.0,138093,62.022972545034136,winter,2005
Maria Watches Over Us,7.29,"Drama, Girls Love",TV,"Rondo Robe, TV Tokyo Music",Studio Deen,2569.0,2476,673,21053.0,67257,51.87217661026132,winter,2004
The Melody of Oblivion,6.28,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",TV,"Kadokawa Shoten, TBS, KENMedia","Gainax, J.C.Staff",7507.0,4748,39,6009.0,18457,38.36208105502834,spring,2004
"Now and Then, Here and There",7.61,"Adventure, Drama, Fantasy, Sci-Fi",TV,"Victor Entertainment, Pioneer LDC, Rakuonsha",AIC,1362.0,1514,1150,40772.0,138932,58.650911473328065,fall,1999
Peace Maker Kurogane,7.3,"Action, Comedy",TV,"GDH, TV Asahi, Imagica",Gonzo,2512.0,2723,276,23052.0,56677,52.758916205624196,fall,2003
Pita-Ten,6.93,"Comedy, Fantasy, Romance",TV,Broccoli,Madhouse,4278.0,4280,85,10455.0,23271,44.643807573934545,spring,2002
RahXephon,7.39,"Action, Award Winning, Drama, Mystery, Romance, Sci-Fi",TV,"Media Factory, Victor Entertainment, Asatsu DK, Fuji TV",Bones,2108.0,1745,947,42467.0,116145,58.760658949297635,winter,2002
Samurai 7,7.44,Sci-Fi,TV,"GDH, Sotsu Music Publishing",Gonzo,1923.0,1618,699,61786.0,128166,62.43639936595979,summer,2004
Scrapped Princess,7.38,"Adventure, Comedy, Drama, Fantasy, Sci-Fi",TV,"Kadokawa Shoten, A-Line",Bones,2160.0,2016,427,37528.0,93327,57.556953580970045,spring,2003
s-CRY-ed,7.36,"Action, Adventure, Drama, Sci-Fi",TV,Yomiko Advertising,Sunrise,2231.0,2204,660,38038.0,81088,57.66081064661059,summer,2001
Lunar Legend Tsukihime,6.82,"Action, Horror, Mystery, Romance, Supernatural",TV,"TBS, Rondo Robe, Movic",J.C.Staff,4752.0,1336,660,69815.0,163534,62.77500089220364,fall,2003
Slam Dunk,8.54,Sports,TV,"TV Asahi, Animax",Toei Animation,108.0,797,6879,128920.0,283226,70.84739640679457,fall,1993
Tenjho Tenge,6.88,"Action, Comedy, Ecchi",TV,TV Asahi,Madhouse,4478.0,1198,596,89121.0,184419,65.2105076510723,spring,2004
Tokyo Underground,6.59,"Action, Adventure, Romance, Sci-Fi",TV,TV Tokyo Music,Pierrot,5855.0,3873,43,11503.0,28859,45.079286593179795,spring,2002
Tsubasa RESERVoir CHRoNiCLE,7.52,"Action, Adventure, Fantasy, Romance",TV,"NHK, Kodansha",Bee Train,1642.0,1009,2013,95215.0,222752,66.7040423552493,spring,2005
Ultra Maniac,7.16,"Comedy, Romance",TV,"WAO World, Studio Jack",Ashi Productions,3218.0,3645,124,13581.0,32480,47.477359001998806,spring,2003
Vandread,7.17,"Action, Sci-Fi, Ecchi",TV,"GDH, Dentsu, Media Factory",Gonzo,3210.0,2168,421,43135.0,82637,58.619918380579044,fall,2000
Vandread: The Second Stage,7.39,"Action, Sci-Fi, Ecchi",TV,"GDH, Dentsu, Media Factory",Gonzo,2113.0,2824,114,31301.0,52908,55.822735697848195,fall,2001
The Vision of Escaflowne,7.67,"Adventure, Fantasy, Romance",TV,"TV Tokyo, Bandai Visual",Sunrise,1195.0,1422,2069,64352.0,150794,63.121456405730775,spring,1996
Initial D First Stage,8.33,"Action, Drama",TV,"OB Planning, Fuji TV","Gallop, Studio Comet",224.0,616,11157,177466.0,353680,73.68529224736974,spring,1998
Initial D Second Stage,8.16,"Action, Drama",TV,"OB Planning, Fuji TV",Pastel,394.0,1106,996,124975.0,202885,70.10977544017042,fall,1999
Love Hina,7.1,"Comedy, Romance, Ecchi",TV,"TV Tokyo, Yomiko Advertising",Xebec,3554.0,864,1459,133865.0,259281,69.43151369031267,spring,2000
Maburaho,6.74,"Comedy, Drama, Romance, Ecchi",TV,"Kadokawa Shoten, KlockWorx, Happinet Pictures, Sony PCL",J.C.Staff,5134.0,1989,217,48136.0,95727,59.080717534738596,fall,2003
Please Teacher!,7.11,"Drama, Romance, Sci-Fi",TV,"Bandai Visual, Genco",Daume,3494.0,1283,941,93590.0,172570,65.9983680600412,winter,2002
Please Twins!,6.82,"Comedy, Drama, Sci-Fi",TV,"Bandai Visual, Genco, Lantis",Daume,4745.0,2112,187,49139.0,87715,59.39294689583221,summer,2003
Speed Grapher,7.31,"Action, Mystery",TV,"TV Asahi, WAO World, TAP",Gonzo,2504.0,1817,586,40298.0,110219,58.15097803363848,spring,2005
Wolf's Rain,7.8,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,"Bandai Visual, Asatsu DK, Fuji TV",Bones,929.0,694,5636,129899.0,319198,70.04740183938249,winter,2003
Samurai Champloo,8.51,"Action, Adventure, Comedy",TV,"Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG",Manglobe,120.0,106,36236,612643.0,1187090,85.8229307017513,spring,2004
Record of Lodoss War: Chronicles of the Heroic Knight,7.13,"Action, Adventure, Drama, Fantasy, Romance",TV,"Kadokawa Shoten, Yomiko Advertising, Marubeni",AIC,3408.0,3707,125,11148.0,31538,45.535846458980025,spring,1998
R.O.D -The TV-,7.53,"Action, Adventure, Comedy, Drama, Sci-Fi",TV,"Aniplex, Studio Deen, Broccoli, Sony Music Entertainment",J.C.Staff,1627.0,2463,410,28354.0,67805,55.05122477006052,fall,2003
Ranma ½,7.76,"Action, Comedy, Fantasy",TV,"Shogakukan-Shueisha Productions, Kitty Films, Fuji TV, Shogakukan",Studio Deen,1007.0,915,3976,117470.0,245209,69.0293473243864,spring,1989
Martian Successor Nadesico,7.49,"Action, Romance, Sci-Fi",TV,"TV Tokyo, Starchild Records, Yomiko Advertising, Audio Tanaka",Xebec,1746.0,2844,449,19385.0,52289,51.337917377523226,fall,1996
Dragon Ball,7.96,"Action, Adventure, Comedy, Fantasy",TV,Fuji TV,Toei Animation,640.0,149,14998,640286.0,989241,85.60451573666634,winter,1986
Dragon Ball GT,6.48,"Action, Adventure, Comedy, Fantasy",TV,Fuji TV,Toei Animation,6466.0,327,1940,411392.0,607445,79.36345141033789,winter,1996
Elfen Lied,7.48,"Action, Drama, Horror, Romance, Supernatural",TV,"VAP, Genco, Studio Guts",Arms,1786.0,71,23559,851108.0,1462904,87.74652506711887,summer,2004
Hell Girl,7.61,"Horror, Mystery, Supernatural",TV,"Aniplex, SKY Perfect Well Think",Studio Deen,1363.0,625,3082,130391.0,347632,69.8463233615164,fall,2005
Ninja Nonsense,6.89,Comedy,TV,"Toshiba Entertainment, Happinet Pictures",ufotable,4449.0,3565,128,15854.0,34202,48.59744013255251,summer,2004
Air Master,6.97,"Action, Comedy",TV,"VAP, Nippon Television Network",Toei Animation,4103.0,3403,138,15851.0,37581,48.70678827386733,spring,2003
Shrine of the Morning Mist,6.1,"Action, Comedy, Fantasy, Supernatural",TV,"Starchild Records, TV Tokyo Music, Shounen Gahousha","Chaos Project, GANSIS",8367.0,6714,4,2425.0,7764,29.343781106101996,summer,2002
Cardcaptor Sakura,8.16,"Adventure, Comedy, Drama, Fantasy, Romance",TV,"NHK, Kodansha, Sogo Vision",Madhouse,390.0,507,12789,212608.0,420586,75.22661088391877,spring,1998
Case Closed,8.17,"Adventure, Comedy, Mystery",TV,"Yomiuri Telecasting, TMS-Kyokuchi, Shogakukan",TMS Entertainment,382.0,653,13964,154061.0,334559,72.13652781786826,winter,1996
E's Otherwise,6.59,"Adventure, Comedy, Drama, Sci-Fi, Supernatural",TV,Sotsu,Pierrot,5870.0,4985,24,6890.0,16192,40.14357485300842,spring,2003
Eureka Seven,8.06,"Adventure, Drama, Romance, Sci-Fi",TV,"Aniplex, Bandai Visual, Kadokawa Shoten, Mainichi Broadcasting System, Bandai, Ashi Productions, Sony Music Entertainment, Bandai Namco Games, Hakuhodo DY Media Partners, Bandai Channel, USEN",Bones,517.0,494,9028,179645.0,426718,73.48550316936777,spring,2005
Flame of Recca,7.34,"Action, Adventure",TV,Fuji TV,Pierrot,2345.0,2529,251,27599.0,64991,54.545214117651376,summer,1997
Gankutsuou: The Count of Monte Cristo,8.14,"Award Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense",TV,"GDH, TV Asahi, Media Factory, Sotsu Music Publishing",Gonzo,420.0,930,3810,72405.0,240869,64.82965476292102,fall,2004
Genshiken,7.63,"Comedy, Slice of Life",TV,"Genco, Lantis, Kids Station, Toshiba Entertainment",Palm Studio,1316.0,1271,1409,69849.0,174114,63.86046150839145,fall,2004
Girls Bravo,6.38,"Comedy, Fantasy, Romance, Ecchi",TV,"AIC, Lantis, Kadokawa Shoten, Fuji TV, Rakuonsha, KlockWorx, Happinet Pictures, Studio Jack",AIC Spirits,6982.0,1466,306,70842.0,145089,62.27338559151776,summer,2004
The Gokusen,7.41,"Comedy, Drama, Slice of Life",TV,"VAP, Studio Jack",Madhouse,2035.0,3104,225,20625.0,44329,51.83161242684452,winter,2004
Gravitation,6.93,"Boys Love, Comedy",TV,Aniplex,Studio Deen,4259.0,1729,1118,63766.0,117359,62.05632101571262,fall,2000
Great Teacher Onizuka,8.69,Comedy,TV,"Aniplex, Fuji TV",Pierrot,56.0,216,25287,388204.0,788251,81.63073876052152,summer,1999
Rave Master,7.22,"Adventure, Comedy, Fantasy, Romance",TV,"TBS, Kodansha",Studio Deen,2937.0,1965,359,40175.0,97932,58.00223875756131,fall,2001
Strawberry 100%,6.63,"Comedy, Romance, Ecchi",TV,Shueisha,Madhouse,5684.0,1786,245,54129.0,112888,60.05224694874179,spring,2005
InuYasha,7.86,"Action, Adventure, Fantasy, Romance",TV,"Yomiuri Telecasting, Shogakukan",Sunrise,794.0,233,17881,377591.0,765524,80.39706429764819,fall,2000
Zatch Bell!,7.54,"Adventure, Comedy, Supernatural",TV,"Yomiko Advertising, Fuji TV",Toei Animation,1575.0,1680,1210,58828.0,122070,62.09253184649177,spring,2003
Haré+Guu,7.81,"Comedy, Slice of Life",TV,"Bandai Visual, Sotsu",Shin-Ei Animation,907.0,3594,402,14042.0,33383,48.635622129569775,spring,2001
Ikki Tousen: Battle Vixens,6.39,Ecchi,TV,"Genco, Cosmic Ray, Eye Move, Bushiroad",J.C.Staff,6925.0,1366,418,69310.0,159045,62.077926342587325,summer,2003
Fighting Spirit,8.76,Sports,TV,VAP,Madhouse,40.0,369,20143,267388.0,546859,78.11759839350424,fall,2000
Gunparade March: A New Song for the March,6.73,"Action, Drama, Romance, Sci-Fi",TV,"Rondo Robe, d-rights",J.C.Staff,5201.0,4978,22,6031.0,16232,39.06371117686901,winter,2003
Gungrave,7.83,"Action, Drama, Sci-Fi",TV,Tohokushinsha Film Corporation,Madhouse,859.0,1203,2355,67771.0,183979,63.818794609804485,fall,2003
Bleach,7.92,"Action, Adventure, Fantasy",TV,"TV Tokyo, Aniplex, Dentsu, TV Tokyo Music, Studio Kelmadick, Shueisha",Pierrot,686.0,39,68896,1069200.0,1856976,90.49386038298945,fall,2004
Hellsing,7.49,"Action, Horror, Supernatural",TV,"Fuji TV, Pioneer LDC",Gonzo,1744.0,265,5922,357081.0,695560,79.39488802706106,fall,2001
