English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score
Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",TV,Bandai Visual,Sunrise,41.0,43,78525,914193.0,1771505,90.35835668939735
Cowboy Bebop: The Movie,8.38,"Action, Sci-Fi",Movie,"Sunrise, Bandai Visual",Bones,189.0,602,1448,206248.0,360978,76.20951278606294
Trigun,8.22,"Action, Adventure, Sci-Fi",TV,Victor Entertainment,Madhouse,328.0,246,15035,356739.0,727252,81.09131910057945
Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",TV,"Bandai Visual, Dentsu, Victor Entertainment, TV Tokyo Music",Sunrise,2764.0,1795,613,42829.0,111931,60.35652952025705
Beet the Vandel Buster,6.94,"Adventure, Fantasy, Supernatural",TV,"TV Tokyo, Dentsu",Toei Animation,4240.0,5126,14,6413.0,15001,42.41782659142323
Honey and Clover,8.0,"Comedy, Drama, Romance",TV,"Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha",J.C.Staff,589.0,862,4136,81747.0,260166,67.2348857848184
Monster,8.87,"Drama, Mystery, Suspense",TV,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,26.0,142,47235,368569.0,1013100,82.09537138226781
Naruto,7.99,"Action, Adventure, Fantasy",TV,"TV Tokyo, Aniplex, Shueisha",Pierrot,599.0,8,76343,1883772.0,2717330,96.19574787152872
One Piece,8.69,"Action, Adventure, Fantasy",TV,"Fuji TV, TAP, Shueisha",Toei Animation,55.0,20,198986,1226493.0,2168904,93.00858883863833
The Prince of Tennis,7.86,Sports,TV,"Production I.G, Nihon Ad Systems",Trans Arts,805.0,1246,3004,81992.0,178273,67.0994859847026
School Rumble,7.89,"Comedy, Romance",TV,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,756.0,687,5139,146597.0,320203,72.50052512895904
Desert Punk,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,"GDH, Pony Canyon, CBC Television",Gonzo,2167.0,1546,822,53709.0,134894,62.61101564146964
Texhnolyze,7.76,"Action, Drama, Sci-Fi",TV,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,990.0,935,4786,54857.0,239423,63.26997057097027
Yakitate!! Japan,7.91,"Comedy, Gourmet",TV,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,704.0,1992,897,40492.0,95380,60.64294017221296
Neon Genesis Evangelion,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",204.0,45,100638,1024927.0,1718019,90.98208240679905
Neon Genesis Evangelion: Death & Rebirth,7.46,"Drama, Sci-Fi",Movie,"Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",1855.0,889,687,140233.0,251617,71.57316965674335
Neon Genesis Evangelion: The End of Evangelion,8.55,"Avant Garde, Drama, Sci-Fi",Movie,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",98.0,177,27272,586441.0,879361,86.04498320099565
Berserk,8.56,"Action, Adventure, Drama, Fantasy, Horror",TV,"VAP, Hakusensha, Nippon Television Network",OLM,96.0,325,25404,325204.0,608800,80.61092289943474
Ghost in the Shell,8.27,"Action, Award Winning, Mystery, Sci-Fi, Suspense",Movie,"Bandai Visual, Kodansha",Production I.G,276.0,329,12339,315593.0,604276,80.01561980706265
Samurai X: Trust and Betrayal,8.71,"Action, Drama, Romance",OVA,Aniplex,Studio Deen,48.0,834,6137,134133.0,268621,72.59305663043043
Rurouni Kenshin,8.29,"Action, Adventure, Comedy, Romance",TV,"Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",249.0,432,9907,230278.0,477389,77.12751660643316
Samurai X: The Motion Picture,7.55,Drama,Movie,"Fuji TV, Sony Music Entertainment",Gallop,1567.0,2885,88,26859.0,50732,56.422005339787916
Akira,8.16,"Action, Adventure, Horror, Sci-Fi, Supernatural",Movie,"Mainichi Broadcasting System, Kodansha, Toho, Streamline Pictures",Tokyo Movie Shinsha,389.0,208,12961,485580.0,804581,83.87103637106607
.hack//Sign,6.95,"Adventure, Fantasy, Mystery",TV,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,4172.0,1243,1343,83009.0,178659,66.07706307805441
Oh! My Goddess,7.29,"Comedy, Romance, Supernatural",OVA,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,2542.0,2832,246,26400.0,52627,55.93921778598255
Ah! My Goddess,7.32,"Comedy, Romance, Supernatural",TV,"Bandai Visual, TBS, Imagine",AIC,2407.0,1392,1115,76377.0,155745,65.78711086337614
Angel Sanctuary,6.27,"Action, Drama, Romance, Supernatural",OVA,"Bandai Visual, Lantis, Audio Tanaka",Hal Film Maker,7564.0,2958,182,26701.0,48258,54.652022567649816
Battle Doll Angelic Layer,7.26,"Award Winning, Comedy, Drama, Sci-Fi, Sports",TV,"Dentsu, TV Tokyo Music",Bones,2727.0,2707,291,28552.0,57259,56.62477878293125
Ai Yori Aoshi,7.11,"Comedy, Drama, Romance",TV,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,3471.0,1839,447,52942.0,108460,62.134007342218524
Beck: Mongolian Chop Squad,8.29,"Comedy, Drama, Slice of Life",TV,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Madhouse,252.0,669,8149,136432.0,327015,72.29360570484818
Blue Gender,7.03,"Adventure, Drama, Horror, Romance, Sci-Fi",TV,"Youmex, Toshiba EMI",AIC,3873.0,2256,415,29649.0,78193,56.675644979660866
Chobits,7.4,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,"TBS, Pioneer LDC",Madhouse,2080.0,441,3824,249019.0,469408,76.80127900118961
Chrono Crusade,7.62,"Action, Romance, Supernatural",TV,"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,1322.0,1010,1939,102723.0,221814,68.89471358465283
D.N.Angel,7.17,"Action, Comedy, Fantasy, Romance",TV,Kadokawa Shoten,Xebec,3180.0,1211,1257,98061.0,182259,67.90369295992969
D.C.~Da Capo~,6.72,"Drama, Romance",TV,"Lantis, King Records","feel., Zexcs",5215.0,2320,194,30349.0,74844,56.474671425065104
DearS,6.56,"Comedy, Romance, Sci-Fi, Ecchi",TV,"Bandai Visual, Hal Film Maker, Genco, Lantis",Daume,6027.0,1460,346,78611.0,145533,65.04105769075528
Rozen Maiden,7.41,"Action, Comedy, Drama",TV,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",Nomad,2053.0,1120,1936,95684.0,199570,67.98113494108566
Rozen Maiden: Träumend,7.62,"Action, Comedy, Drama",TV,"Mellow Head, TBS",Nomad,1340.0,1898,450,57969.0,102972,63.61139444575151
Azumanga Daioh: The Animation,7.99,"Comedy, Slice of Life",TV,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,603.0,668,6327,146773.0,327945,72.62791047028855
Basilisk,7.55,"Action, Drama, Romance",TV,"GDH, Kodansha, Sotsu Music Publishing",Gonzo,1539.0,1213,1371,76398.0,182074,66.0753397876659
Black Cat,7.33,"Action, Adventure, Sci-Fi",TV,"GDH, Dentsu, TBS, Sotsu Music Publishing",Gonzo,2389.0,846,1779,127273.0,264622,70.51534794125809
Full Metal Panic!,7.61,"Action, Comedy, Sci-Fi",TV,"Kadokawa Shoten, KlockWorx",Gonzo,1356.0,422,4326,236646.0,482069,76.5890634709326
Full Metal Panic? Fumoffu,8.03,"Action, Comedy",TV,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",Kyoto Animation,548.0,769,2907,171852.0,289064,74.13073834922488
Full Metal Panic! The Second Raid,7.93,Action,TV,"WOWOW, Kadokawa Shoten, KlockWorx, Happinet Pictures",Kyoto Animation,682.0,878,1268,145898.0,255279,72.50308607167084
Gakuen Alice,7.64,"Comedy, Fantasy",TV,"Aniplex, Sogo Vision",Group TAC,1276.0,1975,1397,50323.0,97186,62.32941508434645
Fafner,7.26,"Action, Drama, Sci-Fi",TV,"TV Tokyo Music, King Records",Xebec,2751.0,3000,260,14750.0,47077,50.52556412066572
Magical Girl Lyrical Nanoha,7.41,"Action, Comedy, Drama",TV,"Starchild Records, Omnibus Japan",Seven Arcs,2044.0,1921,1038,41202.0,101048,60.20046953428387
Magical Girl Lyrical Nanoha A's,7.97,"Action, Comedy, Drama",TV,"Starchild Records, Omnibus Japan",Seven Arcs,622.0,2555,993,33024.0,63640,58.83008743487778
Shuffle!,7.03,"Comedy, Drama, Fantasy, Romance, Ecchi",TV,"Xebec, Lantis, Kadokawa Shoten, KlockWorx, Memory-Tech",asread.,3854.0,820,1461,133611.0,273378,70.57822943642849
Mobile Suit Gundam,7.76,"Action, Drama, Sci-Fi",TV,"Sotsu, Nagoya Broadcasting Network",Sunrise,1005.0,1632,2140,56938.0,126804,63.613800368251546
Mobile Suit Gundam: The 08th MS Team,8.01,"Adventure, Drama, Romance, Sci-Fi",OVA,Atelier Musa,Sunrise,571.0,2231,1064,43859.0,79682,61.496563423833926
Mobile Suit Gundam 0080: War in the Pocket,7.96,"Drama, Sci-Fi",OVA,Bandai Visual,Sunrise,630.0,2718,966,31259.0,56839,58.311268550776184
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.76,"Drama, Romance, Sci-Fi",Movie,"Sotsu, Atelier Musa",Sunrise,5014.0,5384,3,6621.0,13284,42.469911400140745
Mobile Suit Gundam 0083: Stardust Memory,7.24,"Adventure, Drama, Romance, Sci-Fi",OVA,Bandai Visual,Sunrise,2801.0,3173,251,23874.0,42580,54.946914686887744
Mobile Suit Zeta Gundam,7.9,"Drama, Romance, Sci-Fi",TV,"Sotsu, Nagoya Broadcasting Network",Sunrise,719.0,2401,2117,35809.0,70651,59.49629105124977
Mobile Suit Gundam ZZ,6.68,"Comedy, Drama, Sci-Fi",TV,"Sotsu, Nagoya Broadcasting Network",Sunrise,5437.0,3254,178,19985.0,40669,52.561548465709315
Mobile Suit Gundam: Char's Counterattack,7.66,"Drama, Sci-Fi",Movie,"Sotsu, Nozomi Entertainment, Atelier Musa",Sunrise,1225.0,3005,422,27623.0,46928,56.8145836745963
Mobile Suit Gundam F91,6.62,"Drama, Sci-Fi",Movie,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network",Sunrise,5740.0,3771,82,16605.0,30560,50.76728775963442
Mobile Suit Victory Gundam,6.77,"Drama, Sci-Fi",TV,"TV Asahi, Sotsu, Apollon",Sunrise,4996.0,4037,136,10400.0,26469,46.653424004896536
Mobile Suit Gundam Wing,7.69,"Action, Drama, Sci-Fi",TV,TV Asahi,Sunrise,1168.0,1391,2334,87593.0,155744,67.50777687211858
Mobile Suit Gundam Wing: Endless Waltz,7.74,"Action, Award Winning, Drama, Sci-Fi",OVA,"Bandai Visual, Sotsu",Sunrise,1050.0,2996,176,27092.0,47208,56.73128333875838
After War Gundam X,7.34,"Adventure, Drama, Sci-Fi",TV,"TV Asahi, Sotsu",Sunrise,2330.0,3534,199,15331.0,34851,50.983526484629564
Mobile Suit Gundam SEED,7.75,"Action, Award Winning, Drama, Romance, Sci-Fi",TV,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",Sunrise,1011.0,1330,3435,92725.0,164436,68.1053339089541
Mobile Suit Gundam SEED Destiny,7.18,"Action, Drama, Romance, Sci-Fi",TV,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",Sunrise,3122.0,1887,1063,63114.0,104048,63.84740296935829
∀ Gundam,7.74,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",TV,"Sotsu, Fuji TV, Nakamura Production",Sunrise,1057.0,3041,965,16137.0,45772,51.94668592279938
Mobile Fighter G Gundam,7.57,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",TV,"TV Asahi, Sotsu",Sunrise,1451.0,2483,978,36150.0,66828,59.18977971996505
Last Exile,7.79,"Action, Adventure, Sci-Fi",TV,"GDH, Victor Entertainment, TV Tokyo Music",Gonzo,943.0,1297,1825,69879.0,170062,65.54067967830827
My-Hime,7.42,"Action, Fantasy, Girls Love",TV,"Bandai Visual, TV Tokyo Music, Studio Zain",Sunrise,1981.0,1781,1146,51203.0,113210,62.21968471181231
My-Otome,7.28,"Comedy, Drama, Fantasy",TV,"Bandai Visual, Lantis, TV Tokyo Music",Sunrise,2631.0,2896,303,25042.0,50454,55.43887274921445
Prétear: The New Legend of Snow White,7.16,"Comedy, Drama, Fantasy, Romance",TV,"Kadokawa Shoten, Rondo Robe",Hal Film Maker,3271.0,2589,409,28219.0,62156,56.388363822910335
Air,7.28,"Drama, Romance, Supernatural",TV,"Pony Canyon, TBS, Movic",Kyoto Animation,2603.0,761,2605,151312.0,292351,72.04980057465222
Red Riding Hood Chacha,7.49,"Adventure, Comedy, Fantasy, Romance",TV,"Nihon Ad Systems, Shueisha",Gallop,1733.0,5140,110,5335.0,14917,41.422633491600756
"Ceres, Celestial Legend",7.18,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",TV,Bandai Visual,Pierrot,3156.0,2628,482,27320.0,60668,56.115142573632845
Boys Be...,6.4,"Comedy, Romance, Slice of Life",TV,Geneon Universal Entertainment,Hal Film Maker,6889.0,4306,42,9195.0,22934,44.99724619827241
Jing: King of Bandits,7.19,"Adventure, Comedy, Fantasy, Sci-Fi",TV,Aniplex,Studio Deen,3109.0,3440,206,14288.0,36942,50.14222672150981
Jing: King of Bandits - Seventh Heaven,7.25,"Adventure, Comedy, Fantasy",OVA,Aniplex,Studio Deen,2793.0,5457,24,5491.0,12873,41.38804343617167
Burst Angel,6.79,"Adventure, Comedy, Sci-Fi",TV,"GDH, TV Asahi, Imagica",Gonzo,4892.0,2435,234,30890.0,69227,56.73352989955607
Corrector Yui,6.97,"Adventure, Comedy, Sci-Fi",TV,"NHK, Studio Tron",Nippon Animation,4110.0,5031,92,6635.0,15804,42.77191614487595
The Cosmopolitan Prayers,4.82,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",TV,m.o.e.,"Imagin, Studio Live",12171.0,6433,5,3197.0,8567,32.623689873297494
Stellvia,7.37,"Action, Romance, Sci-Fi",TV,"Starchild Records, TV Tokyo Music",Xebec,2176.0,4220,119,9484.0,24116,46.58616973207109
Cromartie High School,7.9,Comedy,TV,TV Tokyo Music,Production I.G,722.0,1549,1600,52849.0,134468,63.09072344212322
El-Hazard: The Wanderers,6.93,"Adventure, Comedy, Fantasy, Romance",TV,"TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa",AIC,4257.0,4846,35,7070.0,17489,43.30516562787478
Fruits Basket,7.69,"Drama, Romance, Supernatural",TV,"TV Tokyo, Nihon Ad Systems, King Records",Studio Deen,1174.0,389,9255,276380.0,524623,78.1189374117674
Fullmetal Alchemist,8.11,"Action, Adventure, Award Winning, Drama, Fantasy",TV,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Bones,454.0,76,25502,868434.0,1426703,89.18274661781673
Searching for the Full Moon,7.94,"Comedy, Drama, Romance, Supernatural",TV,Nihon Ad Systems,Studio Deen,660.0,1860,1782,46837.0,106414,62.02215485562439
Mysterious Play,7.61,"Adventure, Fantasy, Romance",TV,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon",Pierrot,1357.0,1748,2043,51017.0,115885,62.419564612278954
Twin Love,6.44,"Comedy, Romance",TV,Lantis,Telecom Animation Film,6666.0,3540,23,15858.0,34677,50.08766458219081
Saiyuki,7.55,"Action, Adventure, Comedy, Drama, Supernatural",TV,"TV Tokyo, Dentsu, Group TAC",Pierrot,1545.0,2791,776,21181.0,53858,54.228850597923554
Getbackers,7.58,"Action, Mystery, Supernatural",TV,"TBS, Kodansha, Rondo Robe, Rakuonsha",Studio Deen,1438.0,1703,867,53000.0,119875,62.73522792928228
Green Green,6.15,"Comedy, Romance, Ecchi",TV,"Pony Canyon, Memory-Tech, Studio Jack",Studio Matrix,8102.0,1750,221,65710.0,115548,62.78969386023165
Gunslinger Girl,7.39,"Action, Drama, Sci-Fi",TV,"Marvelous, Fuji TV",Madhouse,2127.0,1191,1153,76112.0,185016,65.84290340143696
Hikaru no Go,8.08,"Comedy, Drama, Supernatural",TV,"TV Tokyo, Dentsu, Dream Force",Pierrot,491.0,1557,2341,61567.0,133599,64.7087598404399
Hunter x Hunter,8.41,"Action, Adventure, Fantasy",TV,Fuji TV,Nippon Animation,170.0,357,10442,275467.0,564771,78.91487753886963
Jinki: Extend,6.1,Sci-Fi,TV,"TV Asahi, GANSIS",feel.,8385.0,5723,11,4233.0,11401,37.3904304556299
Destiny of the Shrine Maiden,6.81,"Drama, Girls Love, Romance, Supernatural",TV,"Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment",TNK,4801.0,2436,701,29746.0,69192,56.41220077471784
His and Her Circumstances,7.59,"Comedy, Drama, Romance",TV,"TV Tokyo, GANSIS","Gainax, J.C.Staff",1402.0,1023,2517,78310.0,220497,66.3524011532947
This Ugly Yet Beautiful World,6.71,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,"Geneon Universal Entertainment, TBS, Rondo Robe, Movic","Gainax, Shaft",5291.0,2647,151,28382.0,59737,55.842131429439924
Rumbling Hearts,7.18,"Drama, Romance",TV,"Lantis, Media Factory, Age",Studio Fantasia,3122.0,1511,1048,67615.0,139156,64.48354265282217
Loveless,6.76,"Action, Boys Love, Drama, Mystery, Supernatural",TV,"Bandai Visual, TV Asahi, Movic",J.C.Staff,5020.0,1526,1308,69267.0,137813,64.14982839777045
Blood+,7.62,"Action, Drama, Horror, Mystery, Supernatural",TV,"Aniplex, Mainichi Broadcasting System",Production I.G,1320.0,592,4321,156688.0,367577,72.79371627235273
The Twelve Kingdoms,8.02,"Action, Adventure, Fantasy",TV,"NHK, Sogo Vision",Pierrot,566.0,1473,2403,44122.0,144333,61.56329416190615
Shaman King,7.75,"Action, Adventure, Comedy, Supernatural",TV,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music",Xebec,1020.0,612,3709,191259.0,356061,74.79103615055651
X - The Movie,6.57,"Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural",Movie,"Kadokawa Shoten, Victor Entertainment, Marubeni, Movic, Sega, Shelty",Madhouse,5999.0,3442,117,18218.0,36913,51.5533674553045
X,7.4,"Action, Drama, Fantasy, Romance",TV,"Bandai Visual, Kadokawa Shoten, d-rights, chara-ani.com",Madhouse,2072.0,2220,756,34617.0,80243,58.579886543299956
Negima!,6.94,"Comedy, Fantasy, Romance, Supernatural, Ecchi",TV,Starchild Records,Xebec,4212.0,1523,494,63454.0,138093,63.583065325825295
Maria Watches Over Us,7.29,"Drama, Girls Love",TV,"Rondo Robe, TV Tokyo Music",Studio Deen,2569.0,2476,673,21053.0,67257,53.84926315065893
The Melody of Oblivion,6.28,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",TV,"Kadokawa Shoten, TBS, KENMedia","Gainax, J.C.Staff",7507.0,4748,39,6009.0,18457,40.894161073220154
"Now and Then, Here and There",7.61,"Adventure, Drama, Fantasy, Sci-Fi",TV,"Victor Entertainment, Pioneer LDC, Rakuonsha",AIC,1362.0,1514,1150,40772.0,138932,60.349528211545696
Peace Maker Kurogane,7.3,"Action, Comedy",TV,"GDH, TV Asahi, Imagica",Gonzo,2512.0,2723,276,23052.0,56677,54.699575565331905
Pita-Ten,6.93,"Comedy, Fantasy, Romance",TV,Broccoli,Madhouse,4278.0,4280,85,10455.0,23271,46.91783484682735
Princess Mononoke,8.67,"Action, Adventure, Award Winning, Fantasy",Movie,"Tokuma Shoten, Nippon Television Network",Studio Ghibli,58.0,105,20632,769154.0,1190601,88.6782694986563
RahXephon,7.39,"Action, Award Winning, Drama, Mystery, Romance, Sci-Fi",TV,"Media Factory, Victor Entertainment, Asatsu DK, Fuji TV",Bones,2108.0,1745,947,42467.0,116145,60.45476727133727
Samurai 7,7.44,Sci-Fi,TV,"GDH, Sotsu Music Publishing",Gonzo,1923.0,1618,699,61786.0,128166,63.97950861112598
Scrapped Princess,7.38,"Adventure, Comedy, Drama, Fantasy, Sci-Fi",TV,"Kadokawa Shoten, A-Line",Bones,2160.0,2016,427,37528.0,93327,59.300510008382176
s-CRY-ed,7.36,"Action, Adventure, Drama, Sci-Fi",TV,Yomiko Advertising,Sunrise,2231.0,2204,660,38038.0,81088,59.400100635357084
Lunar Legend Tsukihime,6.82,"Action, Horror, Mystery, Romance, Supernatural",TV,"TBS, Rondo Robe, Movic",J.C.Staff,4752.0,1336,660,69815.0,163534,64.30420041794054
Slam Dunk,8.54,Sports,TV,"TV Asahi, Animax",Toei Animation,108.0,797,6879,128920.0,283226,72.04498267025235
Tenjho Tenge,6.88,"Action, Comedy, Ecchi",TV,TV Asahi,Madhouse,4478.0,1198,596,89121.0,184419,66.63965678406625
Tokyo Underground,6.59,"Action, Adventure, Romance, Sci-Fi",TV,TV Tokyo Music,Pierrot,5855.0,3873,43,11503.0,28859,47.33542442817712
Tsubasa RESERVoir CHRoNiCLE,7.52,"Action, Adventure, Fantasy, Romance",TV,"NHK, Kodansha",Bee Train,1642.0,1009,2013,95215.0,222752,68.07183722051887
Ultra Maniac,7.16,"Comedy, Romance",TV,"WAO World, Studio Jack",Ashi Productions,3218.0,3645,124,13581.0,32480,49.63498424389628
Vandread,7.17,"Action, Sci-Fi, Ecchi",TV,"GDH, Dentsu, Media Factory",Gonzo,3210.0,2168,421,43135.0,82637,60.31980831218469
Vandread: The Second Stage,7.39,"Action, Sci-Fi, Ecchi",TV,"GDH, Dentsu, Media Factory",Gonzo,2113.0,2824,114,31301.0,52908,57.63753363574941
The Vision of Escaflowne,7.67,"Adventure, Fantasy, Romance",TV,"TV Tokyo, Bandai Visual",Sunrise,1195.0,1422,2069,64352.0,150794,64.63642357096603
Initial D First Stage,8.33,"Action, Drama",TV,"OB Planning, Fuji TV","Gallop, Studio Comet",224.0,616,11157,177466.0,353680,74.76629801176743
Initial D Second Stage,8.16,"Action, Drama",TV,"OB Planning, Fuji TV",Pastel,394.0,1106,996,124975.0,202885,71.33766310482015
Love Hina,7.1,"Comedy, Romance, Ecchi",TV,"TV Tokyo, Yomiko Advertising",Xebec,3554.0,864,1459,133865.0,259281,70.68726428501121
Love Hina Again,7.21,"Comedy, Drama, Romance, Ecchi",OVA,"Starchild Records, Audio Tanaka",Xebec,2960.0,2153,84,51071.0,84091,61.93072413181238
Love Hina Christmas Movie,7.31,"Comedy, Romance",Special,"TV Tokyo, Yomiko Advertising",Xebec,2487.0,2704,43,35436.0,57393,58.68282004607744
Love Hina Spring Movie,7.18,"Adventure, Comedy, Romance",Special,"TV Tokyo, Yomiko Advertising",Xebec,3128.0,2850,17,31476.0,52165,57.422803686440794
Maburaho,6.74,"Comedy, Drama, Romance, Ecchi",TV,"Kadokawa Shoten, KlockWorx, Happinet Pictures, Sony PCL",J.C.Staff,5134.0,1989,217,48136.0,95727,60.761677879644715
Macross Zero,7.51,"Action, Adventure, Sci-Fi",OVA,Bandai Visual,Satelight,1678.0,3377,122,18988.0,38122,53.17049356365552
Please Teacher!,7.11,"Drama, Romance, Sci-Fi",TV,"Bandai Visual, Genco",Daume,3494.0,1283,941,93590.0,172570,67.39515196019113
Please Twins!,6.82,"Comedy, Drama, Sci-Fi",TV,"Bandai Visual, Genco, Lantis",Daume,4745.0,2112,187,49139.0,87715,61.061080887418
Speed Grapher,7.31,"Action, Mystery",TV,"TV Asahi, WAO World, TAP",Gonzo,2504.0,1817,586,40298.0,110219,59.870131991391276
Spirited Away,8.78,"Adventure, Award Winning, Supernatural",Movie,Toho,Studio Ghibli,36.0,44,31139,1234780.0,1760676,93.16592122146955
Video Girl Ai,7.2,"Comedy, Drama, Romance, Ecchi",OVA,Shueisha,Production I.G,3061.0,3873,138,12650.0,28878,49.03065093655603
Wolf's Rain,7.8,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,"Bandai Visual, Asatsu DK, Fuji TV",Bones,929.0,694,5636,129899.0,319198,71.27785180579258
Samurai Champloo,8.51,"Action, Adventure, Comedy",TV,"Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG",Manglobe,120.0,106,36236,612643.0,1187090,86.40532339931568
Record of Lodoss War: Chronicles of the Heroic Knight,7.13,"Action, Adventure, Drama, Fantasy, Romance",TV,"Kadokawa Shoten, Yomiko Advertising, Marubeni",AIC,3408.0,3707,125,11148.0,31538,47.773228856852135
Record of Lodoss War,7.36,"Action, Adventure, Fantasy",OVA,"Kadokawa Shoten, TBS, Marubeni",Madhouse,2221.0,2466,599,23987.0,67678,55.14232301418282
R.O.D - Read or Die,7.63,"Action, Adventure, Mystery, Sci-Fi",OVA,"Aniplex, SME Visual Works",Studio Deen,1299.0,2513,332,32703.0,65589,58.33729436766548
R.O.D -The TV-,7.53,"Action, Adventure, Comedy, Drama, Sci-Fi",TV,"Aniplex, Studio Deen, Broccoli, Sony Music Entertainment",J.C.Staff,1627.0,2463,410,28354.0,67805,56.897716305628656
Ranma ½,7.76,"Action, Comedy, Fantasy",TV,"Shogakukan-Shueisha Productions, Kitty Films, Fuji TV, Shogakukan",Studio Deen,1007.0,915,3976,117470.0,245209,70.30161887625842
Welcome to Pia Carrot! Sayaka's Love Story,5.81,"Comedy, Romance",Movie,"Bones, Geneon Universal Entertainment",I-move,9671.0,9592,1,1133.0,2878,24.770184315859378
Martian Successor Nadesico,7.49,"Action, Romance, Sci-Fi",TV,"TV Tokyo, Starchild Records, Yomiko Advertising, Audio Tanaka",Xebec,1746.0,2844,449,19385.0,52289,53.336951237864554
Martian Successor Nadesico: The Prince of Darkness,6.73,"Action, Award Winning, Drama, Sci-Fi",Movie,"Production I.G, TV Tokyo, Starchild Records, Kadokawa Shoten, Toei Video, Movic, Sega, King Records, Audio Tanaka",Xebec,5152.0,5032,32,8126.0,15786,44.32023888940507
Dragon Ball,7.96,"Action, Adventure, Comedy, Fantasy",TV,Fuji TV,Toei Animation,640.0,149,14998,640286.0,989241,86.19588090082645
Dragon Ball GT,6.48,"Action, Adventure, Comedy, Fantasy",TV,Fuji TV,Toei Animation,6466.0,327,1940,411392.0,607445,80.21119892068097
Elfen Lied,7.48,"Action, Drama, Horror, Romance, Supernatural",TV,"VAP, Genco, Studio Guts",Arms,1786.0,71,23559,851108.0,1462904,88.24989668579181
FLCL,8.03,"Action, Avant Garde, Comedy, Sci-Fi",OVA,"Starchild Records, GANSIS","Gainax, Production I.G",547.0,219,28986,418695.0,786606,82.35416451627121
Hell Girl,7.61,"Horror, Mystery, Supernatural",TV,"Aniplex, SKY Perfect Well Think",Studio Deen,1363.0,625,3082,130391.0,347632,71.08503361322828
Ninja Nonsense,6.89,Comedy,TV,"Toshiba Entertainment, Happinet Pictures",ufotable,4449.0,3565,128,15854.0,34202,50.70905254504279
Air Master,6.97,"Action, Comedy",TV,"VAP, Nippon Television Network",Toei Animation,4103.0,3403,138,15851.0,37581,50.813908674810364
Shrine of the Morning Mist,6.1,"Action, Comedy, Fantasy, Supernatural",TV,"Starchild Records, TV Tokyo Music, Shounen Gahousha","Chaos Project, GANSIS",8367.0,6714,4,2425.0,7764,32.24633205338412
